epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,19280.8,1.5287,1.1823,0.96357,0.37638,0.29957,0.28562,0.16145,1.43486,1.09901,0.94094,0.0074755,0.0074755,0.0074755
104,19468.7,1.52523,1.1792,0.9638,0.37348,0.29925,0.28549,0.16118,1.43585,1.0992,0.94132,0.00745075,0.00745075,0.00745075
105,19655.7,1.52228,1.17674,0.96318,0.38609,0.29732,0.28612,0.16144,1.43683,1.09898,0.94158,0.007426,0.007426,0.007426
106,19841.5,1.52753,1.17668,0.9621,0.38012,0.2983,0.28507,0.1613,1.43589,1.09739,0.9405,0.00740125,0.00740125,0.00740125
107,20030,1.52371,1.1697,0.96194,0.37809,0.30256,0.28612,0.1618,1.43347,1.09591,0.94019,0.0073765,0.0073765,0.0073765
108,20216.7,1.51645,1.17303,0.96205,0.38178,0.30318,0.28673,0.16276,1.43332,1.09539,0.93979,0.00735175,0.00735175,0.00735175
109,20404,1.52097,1.17043,0.96246,0.38218,0.30015,0.28694,0.16285,1.43137,1.09362,0.93946,0.007327,0.007327,0.007327
110,20592.2,1.51745,1.16676,0.95994,0.38632,0.29918,0.2881,0.1632,1.43017,1.09158,0.93952,0.00730225,0.00730225,0.00730225
111,20779.9,1.51718,1.16655,0.96034,0.38886,0.29896,0.28826,0.16366,1.4284,1.0895,0.93875,0.0072775,0.0072775,0.0072775
112,20968.9,1.51225,1.16269,0.95812,0.38977,0.29736,0.28712,0.16282,1.4285,1.08898,0.93849,0.00725275,0.00725275,0.00725275
113,21156.4,1.5187,1.16793,0.95959,0.38611,0.29641,0.2875,0.1631,1.42804,1.08934,0.93851,0.007228,0.007228,0.007228
114,21344,1.50993,1.162,0.95755,0.38928,0.30072,0.28903,0.16421,1.42713,1.08867,0.93804,0.00720325,0.00720325,0.00720325
115,21533.1,1.51328,1.15973,0.95779,0.38433,0.30501,0.29,0.16458,1.42453,1.08613,0.93751,0.0071785,0.0071785,0.0071785
116,21721.1,1.50922,1.16122,0.95678,0.38638,0.30236,0.29065,0.16477,1.42364,1.08637,0.93723,0.00715375,0.00715375,0.00715375
117,21909.9,1.51091,1.1641,0.96006,0.38565,0.30392,0.29124,0.16516,1.42491,1.08556,0.93775,0.007129,0.007129,0.007129
118,22098.3,1.51451,1.16677,0.95924,0.38323,0.30337,0.29019,0.16446,1.42314,1.08593,0.93721,0.00710425,0.00710425,0.00710425
119,22286.2,1.51171,1.16101,0.95685,0.38449,0.30326,0.29132,0.16504,1.4227,1.08441,0.93699,0.0070795,0.0070795,0.0070795
120,22473.4,1.50586,1.1548,0.95609,0.38215,0.30417,0.29073,0.16495,1.42029,1.08435,0.936,0.00705475,0.00705475,0.00705475
121,22660.6,1.51099,1.15775,0.95624,0.3838,0.3027,0.29074,0.16521,1.42027,1.0835,0.93602,0.00703,0.00703,0.00703
122,22848,1.50513,1.15488,0.95519,0.38345,0.30489,0.29025,0.16485,1.4194,1.08261,0.93559,0.00700525,0.00700525,0.00700525
123,23036.1,1.50759,1.15911,0.95585,0.3869,0.30315,0.29171,0.16596,1.41946,1.08178,0.93527,0.0069805,0.0069805,0.0069805
124,23224.8,1.50008,1.15198,0.95169,0.38483,0.30288,0.29117,0.16591,1.41765,1.08146,0.93524,0.00695575,0.00695575,0.00695575
125,23414.2,1.50354,1.15166,0.95455,0.3889,0.30298,0.29205,0.16612,1.41693,1.07987,0.9348,0.006931,0.006931,0.006931
126,23602.7,1.50438,1.15358,0.95526,0.39136,0.29994,0.2917,0.16623,1.4166,1.08072,0.93453,0.00690625,0.00690625,0.00690625
127,23791.3,1.50652,1.15252,0.95355,0.38968,0.30313,0.29315,0.16697,1.41549,1.07878,0.93429,0.0068815,0.0068815,0.0068815
128,23980.4,1.4959,1.14294,0.95202,0.39268,0.30548,0.29447,0.16777,1.41588,1.07752,0.93457,0.00685675,0.00685675,0.00685675
129,24168.6,1.50394,1.14656,0.95481,0.38767,0.30506,0.29503,0.16761,1.41575,1.07726,0.93466,0.006832,0.006832,0.006832
130,24357.7,1.49838,1.1415,0.95262,0.38807,0.30569,0.29532,0.16789,1.41525,1.07593,0.93461,0.00680725,0.00680725,0.00680725
131,24546.7,1.50343,1.14855,0.95245,0.38438,0.30557,0.29412,0.16768,1.41301,1.07512,0.9339,0.0067825,0.0067825,0.0067825
132,24735.4,1.50047,1.14382,0.95357,0.38723,0.30473,0.29453,0.16811,1.4133,1.0753,0.93381,0.00675775,0.00675775,0.00675775
133,24924.5,1.493,1.14153,0.95303,0.38439,0.30616,0.29455,0.1685,1.41248,1.07483,0.93353,0.006733,0.006733,0.006733
134,25113.5,1.50246,1.14488,0.95231,0.38739,0.30505,0.29569,0.16845,1.41177,1.07376,0.93309,0.00670825,0.00670825,0.00670825
135,25302.5,1.49334,1.14375,0.95259,0.38639,0.30585,0.29565,0.1689,1.41235,1.07331,0.9335,0.0066835,0.0066835,0.0066835
136,25491,1.4915,1.14015,0.95141,0.39013,0.30548,0.29598,0.16869,1.41051,1.07327,0.93289,0.00665875,0.00665875,0.00665875
137,25677.8,1.49476,1.13995,0.95263,0.38916,0.30707,0.29601,0.169,1.40989,1.07251,0.93266,0.006634,0.006634,0.006634
138,25865,1.48976,1.13319,0.95009,0.38801,0.3073,0.29609,0.16851,1.41037,1.07278,0.93236,0.00660925,0.00660925,0.00660925
139,26052.6,1.49569,1.14209,0.95386,0.38606,0.3068,0.29539,0.169,1.40884,1.07194,0.93224,0.0065845,0.0065845,0.0065845
140,26239.9,1.48831,1.14176,0.9514,0.38832,0.30703,0.29711,0.1699,1.40749,1.07112,0.93187,0.00655975,0.00655975,0.00655975
141,26427.9,1.49374,1.13757,0.9512,0.38614,0.30681,0.29666,0.16954,1.40772,1.07067,0.93195,0.006535,0.006535,0.006535
142,26615.6,1.48706,1.13603,0.94836,0.38487,0.30693,0.29613,0.16958,1.40718,1.06923,0.93157,0.00651025,0.00651025,0.00651025
143,26804.7,1.48688,1.13334,0.9503,0.39281,0.30716,0.29713,0.1693,1.4079,1.07029,0.93162,0.0064855,0.0064855,0.0064855
144,26992.1,1.48023,1.12923,0.9481,0.38488,0.30682,0.29579,0.16899,1.40701,1.06889,0.93125,0.00646075,0.00646075,0.00646075
145,27180.6,1.4866,1.1321,0.95076,0.3898,0.30695,0.29676,0.16997,1.40648,1.06813,0.93145,0.006436,0.006436,0.006436
146,27369.4,1.4819,1.13195,0.95076,0.39073,0.30507,0.29713,0.1704,1.40626,1.0676,0.93121,0.00641125,0.00641125,0.00641125
147,27558.1,1.48726,1.13452,0.94993,0.39401,0.30524,0.29757,0.17016,1.40554,1.0673,0.93093,0.0063865,0.0063865,0.0063865
148,27746.8,1.48322,1.12738,0.94814,0.39114,0.30526,0.29782,0.1704,1.40382,1.0668,0.93037,0.00636175,0.00636175,0.00636175
149,27935.3,1.48575,1.12664,0.94853,0.39764,0.30634,0.2985,0.17044,1.40384,1.06612,0.93045,0.006337,0.006337,0.006337
150,28126.9,1.4881,1.13334,0.9478,0.39325,0.30743,0.29934,0.17086,1.40333,1.06562,0.93042,0.00631225,0.00631225,0.00631225
151,28318.8,1.47768,1.12285,0.94553,0.39764,0.30586,0.29907,0.17102,1.40261,1.06481,0.93014,0.0062875,0.0062875,0.0062875
152,28511.1,1.48879,1.13064,0.94906,0.3922,0.30891,0.29934,0.17112,1.40252,1.06495,0.93029,0.00626275,0.00626275,0.00626275
