epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,20469.8,1.41898,1.02937,0.96734,0.41044,0.31683,0.30925,0.17829,1.35729,0.99683,0.94349,0.005479,0.005479,0.005479
139,20620.1,1.42081,1.03363,0.97036,0.40887,0.31731,0.30933,0.17835,1.35677,0.99652,0.94328,0.005446,0.005446,0.005446
140,20770.1,1.41702,1.03436,0.96838,0.40837,0.31762,0.30957,0.17844,1.3562,0.99614,0.94317,0.005413,0.005413,0.005413
141,20919.8,1.42138,1.03106,0.96879,0.40431,0.31989,0.30989,0.17853,1.35588,0.99578,0.94304,0.00538,0.00538,0.00538
142,21068.6,1.41623,1.02794,0.96497,0.40322,0.32011,0.30998,0.17882,1.35536,0.99507,0.9428,0.005347,0.005347,0.005347
143,21217.4,1.41393,1.02609,0.96648,0.40477,0.31941,0.31062,0.17914,1.35504,0.99447,0.94278,0.005314,0.005314,0.005314
144,21366.4,1.40924,1.02124,0.96399,0.4075,0.31933,0.31048,0.17896,1.35477,0.99395,0.94271,0.005281,0.005281,0.005281
145,21514.3,1.41606,1.02603,0.96907,0.40819,0.31932,0.31114,0.17931,1.35441,0.99334,0.94259,0.005248,0.005248,0.005248
146,21662.9,1.40988,1.02611,0.96761,0.40903,0.31947,0.31142,0.17935,1.35402,0.99283,0.94237,0.005215,0.005215,0.005215
147,21811.6,1.41593,1.02899,0.96701,0.40962,0.32044,0.31216,0.1796,1.35341,0.99217,0.94219,0.005182,0.005182,0.005182
148,21960.7,1.40991,1.0218,0.96522,0.40722,0.32048,0.31232,0.18001,1.35324,0.99191,0.94203,0.005149,0.005149,0.005149
149,22109.5,1.41116,1.0182,0.96498,0.41454,0.31782,0.31222,0.18018,1.35321,0.99156,0.94202,0.005116,0.005116,0.005116
150,22258.6,1.41299,1.02229,0.9641,0.41669,0.31775,0.31273,0.18041,1.35304,0.99126,0.94192,0.005083,0.005083,0.005083
151,22407.5,1.4048,1.01578,0.9617,0.41555,0.31878,0.31245,0.18025,1.35245,0.99061,0.94178,0.00505,0.00505,0.00505
152,22556.3,1.41673,1.0226,0.9666,0.41539,0.31734,0.31239,0.18024,1.35211,0.99025,0.94183,0.005017,0.005017,0.005017
153,22704.8,1.40463,1.01,0.96246,0.41471,0.31825,0.3128,0.18054,1.3518,0.99003,0.94172,0.004984,0.004984,0.004984
154,22853.8,1.39848,1.01078,0.96379,0.41295,0.319,0.3126,0.18047,1.35141,0.98927,0.94158,0.004951,0.004951,0.004951
155,23002.2,1.40624,1.01107,0.96503,0.4142,0.31901,0.31266,0.18062,1.35115,0.98866,0.94142,0.004918,0.004918,0.004918
156,23151.1,1.40265,1.00727,0.9631,0.41931,0.31828,0.31323,0.18095,1.35069,0.98816,0.94132,0.004885,0.004885,0.004885
157,23300.1,1.40892,1.01428,0.96466,0.42308,0.3173,0.31343,0.18082,1.35024,0.98787,0.94123,0.004852,0.004852,0.004852
158,23448.8,1.40375,1.01421,0.96477,0.42395,0.31654,0.31335,0.18084,1.34993,0.98755,0.94107,0.004819,0.004819,0.004819
159,23597.2,1.40958,1.01997,0.96266,0.42557,0.31602,0.31318,0.18091,1.34981,0.987,0.94103,0.004786,0.004786,0.004786
160,23745.7,1.39874,1.0054,0.96321,0.42414,0.31715,0.31329,0.18105,1.34989,0.98666,0.94096,0.004753,0.004753,0.004753
161,23895.4,1.39898,1.00499,0.96111,0.42756,0.31497,0.31357,0.18126,1.34961,0.98626,0.94091,0.00472,0.00472,0.00472
162,24044.3,1.39532,1.00001,0.95893,0.42147,0.31811,0.31383,0.18137,1.34958,0.98579,0.94089,0.004687,0.004687,0.004687
163,24192.9,1.39385,1.00249,0.96244,0.42382,0.31779,0.31422,0.18126,1.3497,0.9854,0.94084,0.004654,0.004654,0.004654
164,24341.2,1.38728,0.9952,0.9592,0.42617,0.31754,0.31466,0.18155,1.34953,0.98521,0.94072,0.004621,0.004621,0.004621
165,24489.7,1.38119,0.99182,0.96024,0.42471,0.31808,0.31507,0.18179,1.34936,0.98501,0.94061,0.004588,0.004588,0.004588
166,24638.3,1.39235,0.99933,0.96056,0.42474,0.31845,0.31519,0.1819,1.34927,0.98473,0.94051,0.004555,0.004555,0.004555
167,24786.9,1.40137,1.00483,0.96082,0.42556,0.31793,0.31522,0.18199,1.34901,0.98451,0.9404,0.004522,0.004522,0.004522
168,24935.5,1.39348,0.99677,0.96134,0.42547,0.31796,0.3153,0.18196,1.34888,0.98421,0.9403,0.004489,0.004489,0.004489
169,25083.5,1.38935,0.9954,0.95987,0.42342,0.32028,0.31548,0.18215,1.34848,0.98385,0.94019,0.004456,0.004456,0.004456
170,25232.6,1.38766,0.99493,0.95908,0.42373,0.32081,0.31581,0.18218,1.34813,0.98346,0.9401,0.004423,0.004423,0.004423
171,25382,1.39102,0.99535,0.9619,0.42368,0.32059,0.31591,0.18227,1.34783,0.98307,0.93997,0.00439,0.00439,0.00439
172,25531.8,1.38832,0.99082,0.95785,0.42387,0.32099,0.31608,0.18237,1.34764,0.98274,0.93988,0.004357,0.004357,0.004357
173,25681,1.38414,0.9889,0.95762,0.42473,0.32015,0.31617,0.18251,1.34739,0.98247,0.93985,0.004324,0.004324,0.004324
174,25830.5,1.3916,0.99163,0.95848,0.42588,0.32042,0.31628,0.18239,1.3473,0.98224,0.9398,0.004291,0.004291,0.004291
175,25979.2,1.38692,0.9914,0.96112,0.42826,0.31992,0.31659,0.18244,1.34711,0.98195,0.93972,0.004258,0.004258,0.004258
176,26127.7,1.37427,0.98374,0.9538,0.43012,0.31897,0.31666,0.18267,1.3469,0.98176,0.93966,0.004225,0.004225,0.004225
