                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.5822,                 1.3243,                 1.8761,                0.74756,                0.70839,                0.69957,                0.43219,                 1.5946,                  1.265,                 1.9585,               0.000948,               0.000948,               0.000948
                     71,                 1.4764,                 1.2635,                 1.8492,                0.58683,                0.66748,                0.70969,                0.45806,                 1.4708,                 1.1932,                 1.8256,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.4392,                 1.2201,                 1.8399,                0.93788,                0.59872,                 0.6687,                 0.4269,                 1.4933,                 1.2897,                 1.8834,             0.00093385,             0.00093385,             0.00093385
                     73,                   1.42,                 1.2254,                 1.8255,                0.70111,                0.65592,                0.67104,                 0.4287,                 1.5724,                 1.3002,                 1.8982,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.4344,                 1.1979,                 1.7999,                 0.7643,                0.65466,                0.67479,                0.42003,                 1.5743,                  1.349,                 1.9685,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.4577,                 1.2233,                 1.8521,                0.97425,                0.59487,                0.70358,                0.45635,                 1.5137,                 1.2774,                 1.8756,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.4513,                 1.2145,                 1.8222,                0.70942,                0.68112,                 0.7052,                0.44372,                 1.5917,                 1.2899,                 1.9134,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.4168,                 1.1748,                 1.8167,                 0.6403,                0.65851,                0.68284,                0.40587,                 1.6446,                 1.2829,                 1.9472,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.4238,                 1.2086,                  1.776,                0.87911,                0.65288,                0.72069,                0.45948,                 1.4644,                 1.1298,                 1.8414,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.3369,                 1.1087,                 1.7474,                0.84427,                  0.638,                0.70186,                0.45718,                 1.5029,                 1.1863,                 1.8796,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.3892,                 1.1587,                 1.7842,                0.97495,                0.57821,                0.65492,                0.43408,                 1.4908,                 1.2371,                 1.9123,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.3582,                 1.1094,                 1.7442,                0.97383,                0.62011,                0.66274,                0.44456,                 1.4297,                 1.0912,                 1.8045,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.4105,                 1.1504,                 1.7791,                 0.9582,                0.61015,                0.66031,                0.43011,                   1.51,                 1.1839,                 1.8386,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.4168,                 1.1501,                 1.7577,                0.94487,                0.59804,                0.69837,                0.41318,                 1.5379,                 1.2226,                 1.8888,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.3283,                 1.0998,                 1.7416,                0.96451,                0.59152,                0.66596,                0.44549,                 1.4429,                 1.2242,                  1.816,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.3531,                 1.0886,                 1.7561,                0.71332,                0.69251,                0.72721,                0.44555,                  1.426,                 1.2109,                 1.8578,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.3434,                 1.0272,                 1.7006,                0.71155,                0.71527,                0.75911,                0.46272,                 1.5235,                  1.101,                 1.9097,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.3107,                 1.0578,                 1.7166,                0.77325,                0.70774,                0.73033,                0.47021,                 1.4027,                 1.1753,                 1.7476,             0.00082775,             0.00082775,             0.00082775
                     88,                    1.3,                 1.0474,                 1.6626,                0.71373,                0.70097,                0.75069,                0.46387,                 1.4282,                 1.1896,                 1.7719,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.3069,                 1.0918,                  1.654,                0.72344,                0.69394,                0.72977,                 0.4677,                 1.4639,                 1.1629,                 1.7795,              0.0008136,              0.0008136,              0.0008136
